net,length_um
net531,102.48µm
_2172_,102.32µm
_2225_,102.1µm
net31,102.06µm
net364,102.06µm
net270,102.045µm
net484,101.94µm
net7,101.72µm
_2203_,100.98µm
net352,100.88µm
_2623_,100.62µm
_1996_,100.47µm
net47,100.44µm
net57,99.86µm
_3194_,99.78µm
net225,99.54µm
net296,99.465µm
net214,99.37µm
_2602_,99.34µm
_1986_,99.28µm
net299,99.17µm
net218,99.12µm
_2142_,99.1µm
net432,99.02µm
net401,99µm
net489,98.83µm
net580,98.52µm
net616,98.29µm
_2270_,98.185µm
net288,98.02µm
net463,97.7µm
_2113_,97.6µm
_2232_,97.34µm
net102,96.98µm
net656,96.38µm
net451,96.01µm
_2187_,95.905µm
_2216_,95.62µm
net80,95.62µm
net468,95.3µm
_2155_,94.87µm
net488,94.56µm
net279,94.2µm
_2103_,94.16µm
net49,94.08µm
net78,93.7µm
_2815_,93.48µm
_2067_,93.28µm
net268,93.175µm
_2211_,92.985µm
net753,92.86µm
_2122_,92.14µm
net307,91.9µm
_1715_,91.64µm
net94,91.06µm
_1852_,90.89µm
net348,90.78µm
net506,90.46µm
_2239_,90.42µm
net457,90.42µm
net182,89.99µm
_2515_,89.845µm
_2161_,88.86µm
_2106_,88.8µm
net303,88.2µm
net444,87.48µm
net130,87.33µm
net305,87.3µm
net606,86.935µm
net272,86.72µm
_2081_,86.32µm
_2654_,86.32µm
net301,86.08µm
_1857_,86µm
net284,85.67µm
net291,85.64µm
net497,85.58µm
net648,85.38µm
net101,85.19µm
net283,85.18µm
_1978_,84.605µm
net22,84.14µm
_2424_,84.06µm
_2214_,83.82µm
_0501_,83.36µm
_2259_,82.73µm
_1445_,82.64µm
net632,82.44µm
net487,82.155µm
net649,81.94µm
_2571_,81.64µm
net404,81.45µm
net513,81.3µm
_3426_,81.19µm
net416,81.14µm
net537,81.08µm
net271,81.05µm
net170,80.93µm
_0205_,80.66µm
_2837_,80.54µm
_2832_,80.5µm
_1579_,80.46µm
_2389_,80.12µm
_2442_,80.06µm
_1916_,80µm
_2166_,80µm
_2537_,79.84µm
_2808_,78.74µm
_2102_,78.48µm
net633,78.43µm
net469,78.28µm
_2180_,78.12µm
_2434_,78.06µm
_2767_,77.87µm
net615,77.75µm
net626,77.68µm
net395,77.24µm
_2495_,76.86µm
net197,76.75µm
net351,76.68µm
_2300_,76.34µm
net641,76.28µm
net453,76.27µm
_2384_,76.22µm
net359,75.9µm
_1982_,75.68µm
net403,75.615µm
net77,75.32µm
_2326_,75.2µm
net164,74.86µm
net604,74.48µm
net172,74.26µm
_1902_,74.095µm
net431,73.66µm
_0290_,73.56µm
net54,73.5µm
_1895_,73.5µm
net549,73.4µm
_0810_,73.36µm
_2148_,73.34µm
net191,73.26µm
net640,73.24µm
_2110_,72.86µm
_1097_,72.18µm
_2691_,72.08µm
_1559_,71.82µm
_1286_,71.26µm
_2490_,71.14µm
net339,70.64µm
_1847_,70.54µm
_2812_,70.48µm
net353,69.61µm
_0241_,69.57µm
_2283_,69.51µm
net89,69.38µm
_0216_,69.34µm
_2383_,68.68µm
_0249_,68.54µm
_2126_,68.32µm
net493,68.28µm
_3146_,68.22µm
net358,67.92µm
_0126_,67.76µm
net316,67.76µm
net76,67.7µm
_1639_,67.64µm
_1842_,67.6µm
net153,67.58µm
net281,67.42µm
_2517_,67.39µm
net360,67.32µm
_0187_,66.94µm
_2536_,66.74µm
_2790_,66.72µm
_2140_,66.58µm
_1891_,66.2µm
net454,66.17µm
_1007_,66.08µm
_2207_,65.58µm
net525,65.58µm
net88,65.4µm
