net,length_um
_0825_,18.04
_0842_,18.02
_1306_,18.02
_1864_,17.98
_1288_,17.96
_1395_,17.96
_0140_,17.94
_0409_,17.94
_1533_,17.86
_0300_,17.8
net82,17.78
_0945_,17.68
_0879_,17.66
_1133_,17.62
_0584_,17.56
_1409_,17.56
_1638_,17.52
_1660_,17.52
_0372_,17.5
net76,17.36
_1362_,17.32
_0471_,17.275
_1165_,17.22
net3,17.14
net80,17.14
_1743_,17.12
_1606_,17.06
_0843_,17.04
_0180_,17.02
_0301_,17.02
_1689_,17
_0653_,16.96
_0451_,16.9
_1498_,16.9
_0514_,16.8
_0545_,16.8
_0943_,16.74
_0262_,16.7
_0650_,16.7
_0802_,16.66
_0992_,16.64
_0192_,16.56
_0339_,16.56
_1568_,16.44
net31,16.44
_1199_,16.24
_1386_,16.24
_0322_,16.22
net81,16.22
_0770_,16.18
_0444_,16.1
_1552_,16.1
_0342_,16.07
_1668_,16.02
_0509_,16
_0805_,15.98
_0583_,15.96
net113,15.86
_2034_,15.83
_1218_,15.8
_1779_,15.78
_0666_,15.76
_0394_,15.68
net104,15.68
_0723_,15.64
_0264_,15.62
_1866_,15.62
_0557_,15.6
_0658_,15.56
_0902_,15.52
_2072_,15.44
_1038_,15.34
_1163_,15.34
_2067_,15.3
_1192_,15.28
_0899_,15.26
_1530_,15.26
_0025_,15.2
_1686_,15.16
_0291_,15
_2041_,14.98
net46,14.98
_0334_,14.96
_1327_,14.9
_0079_,14.88
_0272_,14.88
_1092_,14.88
_1497_,14.88
_1505_,14.88
net97,14.84
_1215_,14.79
_0978_,14.68
net23,14.64
net38,14.64
_0028_,14.6
_0705_,14.58
_0436_,14.56
_2007_,14.56
net63,14.5
_0500_,14.34
_0225_,14.3
_0604_,14.3
_1022_,14.3
_1064_,14.28
_2013_,14.23
_1419_,14.18
_0850_,14.14
_2005_,14.1
net96,14.1
net78,14.08
_1766_,14.06
_1390_,14.04
_0101_,14.02
_0619_,13.96
net88,13.96
_1750_,13.94
_1776_,13.92
_0021_,13.9
_0239_,13.9
_1342_,13.885
_1861_,13.82
net98,13.76
_0270_,13.68
_0660_,13.63
_0156_,13.62
_0281_,13.58
_1749_,13.58
net116,13.56
B[23],13.52
_1035_,13.48
_0936_,13.38
_0075_,13.34
_0926_,13.34
_2019_,13.34
net37,13.34
result[31],13.3
_0640_,13.28
net110,13.26
_0056_,13.24
B[24],13.18
_0230_,13.18
_0745_,13.12
_1292_,13.06
_1343_,13.06
_1325_,13
_1519_,12.98
_0575_,12.96
_0396_,12.92
_0800_,12.92
_1579_,12.88
_0013_,12.84
_0115_,12.74
_1335_,12.7
net100,12.66
_0792_,12.62
_1178_,12.62
_1757_,12.58
_0620_,12.52
_0646_,12.52
_0233_,12.5
_1793_,12.5
_1819_,12.46
_1998_,12.46
_1722_,12.44
B[7],12.4
_0227_,12.36
_1768_,12.32
_1089_,12.22
_1130_,12.16
_1712_,12.14
_1227_,12.02
_1610_,12.02
_1547_,12
_0014_,11.96
_0808_,11.92
_0293_,11.86
_0210_,11.83
_2078_,11.82
net77,11.76
_1515_,11.72
A[31],11.68
B[22],11.68
_1045_,11.68
_1112_,11.64
_0168_,11.6
_0973_,11.56
_2070_,11.54
_0503_,11.52
_2073_,11.44
_0956_,11.38
_1228_,11.36
_1237_,11.34
_1106_,11.3
_0972_,11.26
A[3],11.14
_1733_,11.12
net101,11.12
_0588_,11.1
_1266_,11.1
_0758_,11.06
_0576_,11.04
A[15],11.02
A[7],11.02
_1248_,11.02
net75,11.02
_0552_,11
overflow,11
_0366_,10.96
_0989_,10.92
net33,10.92
_1339_,10.895
A[20],10.88
A[21],10.88
A[23],10.88
A[26],10.88
B[27],10.88
B[29],10.88
B[31],10.88
opcode[0],10.88
_1748_,10.86
net84,10.82
_0570_,10.78
net93,10.78
A[22],10.76
A[24],10.76
A[25],10.76
A[27],10.76
A[28],10.76
A[29],10.76
A[30],10.76
B[25],10.76
B[26],10.76
B[28],10.76
B[30],10.76
_1798_,10.76
opcode[1],10.76
opcode[4],10.76
_0332_,10.7
_1408_,10.66
_0448_,10.62
_1901_,10.62
_1540_,10.6
_0858_,10.58
A[0],10.56
_1211_,10.54
_1322_,10.5
_1973_,10.46
_0490_,10.44
_1745_,10.42
_1965_,10.42
carry,10.42
negative,10.42
result[28],10.42
result[29],10.42
result[30],10.42
_1251_,10.36
_1425_,10.325
_0152_,10.32
_0220_,10.32
_0336_,10.3
_1254_,10.28
_1173_,10.24
net12,10.24
net102,10.24
_0961_,10.2
_0998_,10.2
_1109_,10.2
_0045_,10.12
_0097_,10.08
_1950_,10.08
_0806_,10.02
_0015_,10
net85,10
_1175_,9.98
_1366_,9.98
_0507_,9.96
_0435_,9.94
_0894_,9.94
_1782_,9.94
net1,9.94
_0562_,9.86
_0786_,9.86
_1129_,9.86
_1187_,9.86
_0121_,9.84
_0709_,9.84
_1589_,9.84
net83,9.84
_1269_,9.82
_0997_,9.8
_0757_,9.78
_0914_,9.78
_1000_,9.78
_1055_,9.76
net91,9.72
_1951_,9.68
A[1],9.64
A[5],9.64
_0785_,9.62
_0746_,9.58
_0964_,9.58
_0543_,9.54
_1368_,9.48
_0532_,9.46
_0419_,9.44
_1047_,9.44
_1470_,9.44
_1824_,9.44
_0006_,9.4
_0238_,9.4
_2029_,9.4
B[20],9.39
_1349_,9.38
_0157_,9.32
_0387_,9.32
_1987_,9.3
_0983_,9.28
_0527_,9.26
_1152_,9.26
_1400_,9.24
_1370_,9.16
_0373_,9.12
_0177_,9.1
_1796_,9.1
_0695_,9.06
net86,9.04
_0933_,9.02
_1771_,9.02
_1412_,9
_0579_,8.995
_1359_,8.96
_0590_,8.94
_2071_,8.94
_1108_,8.9
A[9],8.84
B[1],8.84
B[3],8.84
B[4],8.84
B[5],8.84
_1201_,8.82
_1407_,8.82
_1735_,8.82
_1773_,8.82
_0869_,8.8
A[10],8.72
A[11],8.72
A[13],8.72
A[14],8.72
A[2],8.72
A[4],8.72
A[6],8.72
A[8],8.72
B[10],8.72
B[11],8.72
B[13],8.72
B[2],8.72
B[6],8.72
B[8],8.72
B[9],8.72
_2075_,8.72
_0678_,8.705
_1025_,8.66
_1290_,8.66
_0361_,8.62
_0468_,8.62
_0050_,8.6
_1927_,8.6
_0316_,8.58
_0052_,8.56
_1379_,8.56
net28,8.56
_0568_,8.52
_1420_,8.52
_0778_,8.44
_1506_,8.44
_1574_,8.44
_1742_,8.44
net73,8.4
net89,8.4
net105,8.4
_1999_,8.28
_1848_,8.24
_0955_,8.2
_1859_,8.2
_0364_,8.16
_1041_,8.14
_1992_,8.14
_0235_,8.12
_1210_,8.12
_1460_,8.12
_0649_,8.1
_0994_,8.1
_1531_,8.08
_1678_,8.04
_0721_,8
_0628_,7.94
_0884_,7.9
_1001_,7.84
_1328_,7.805
net71,7.8
result[5],7.79
_1268_,7.78
_2068_,7.76
_1947_,7.74
_0854_,7.72
_1494_,7.68
_1988_,7.68
_1401_,7.66
_1184_,7.64
_1350_,7.64
_0171_,7.62
_0135_,7.6
_1222_,7.6
_0231_,7.58
_0447_,7.58
_0392_,7.56
_0710_,7.56
_1086_,7.56
_1283_,7.56
_1332_,7.56
_1257_,7.52
net20,7.52
net106,7.52
_1795_,7.5
_0145_,7.48
result[15],7.45
_0129_,7.44
_0416_,7.42
