net,length_um
_2997_,52.12
_0822_,52.08
_1671_,52
_0380_,51.94
_0458_,51.9
_2381_,51.88
_1582_,51.78
_3491_,51.6
_3293_,51.43
_0935_,51.36
_2769_,51.26
_1053_,51.16
_1332_,51.14
_1270_,51.1
_3208_,51
_3107_,50.98
_0284_,50.92
_3428_,50.91
_1701_,50.88
_2923_,50.84
net72,50.82
_2530_,50.78
_3761_,50.78
_2827_,50.6
_0270_,50.48
_2267_,50.46
_2079_,50.42
_0911_,50.36
_3667_,50.32
_1355_,50.2
_1209_,49.98
_0562_,49.78
_1061_,49.74
_1200_,49.74
_0247_,49.62
_0914_,49.6
_0108_,49.58
_1742_,49.56
_2078_,49.5
_3424_,49.48
_3683_,49.4
_3059_,49.28
_0725_,49.26
_2494_,49.14
_0338_,49.06
_0900_,49.06
net95,49
_1782_,48.96
_0983_,48.94
_0801_,48.72
_2261_,48.6
_0572_,48.46
_2455_,48.36
_1488_,48.26
_1962_,48.2
_2260_,48.16
_0315_,48.14
_3234_,48.06
_1853_,47.9
_0007_,47.83
_0245_,47.78
_0183_,47.69
_0964_,47.66
_0916_,47.6
net73,47.6
_3300_,47.52
_3797_,47.52
_2009_,47.38
_2858_,47.14
_3263_,47.12
_0348_,47.04
_0395_,47
_3537_,46.91
_3095_,46.88
_2780_,46.8
_2134_,46.79
_1480_,46.76
_1211_,46.61
_3627_,46.6
_0366_,46.56
_2164_,46.56
net98,46.54
_3385_,46.52
_0102_,46.43
net17,46.36
_3679_,46.28
_1370_,46.26
_1380_,46.24
_0466_,46.18
_3753_,46.12
_1119_,46.06
_0819_,46.025
_3426_,45.94
_1876_,45.8
_0459_,45.78
_3706_,45.64
_1342_,45.6
_1087_,45.52
_1824_,45.5
_3052_,45.22
_3817_,45.14
_2481_,45.06
net77,44.835
_1998_,44.8
_3795_,44.78
_0016_,44.76
_2972_,44.68
_0986_,44.54
_1864_,44.46
_0387_,44.38
_2082_,44.36
_3050_,44.34
_3549_,44.325
_1023_,44.28
_3212_,44.25
_2425_,44.12
_0809_,44.1
_3447_,44.1
_0244_,44.06
_1252_,44.02
_3613_,44
_1516_,43.96
_2597_,43.94
_3258_,43.74
A[11],43.66
_1287_,43.65
_3707_,43.5
_1503_,43.48
_0168_,43.42
_1155_,43.42
_2678_,43.4
_3228_,43.32
_2575_,43.18
net76,43.16
net151,43.16
_1428_,43.14
_1328_,43.135
_1062_,43.13
_3776_,43.07
_0583_,42.96
_0265_,42.86
_1192_,42.85
_0490_,42.74
_1658_,42.74
_0875_,42.65
_0620_,42.58
_2120_,42.54
net33,42.54
_0286_,42.48
_0574_,42.4
_2648_,42.34
_3437_,42.34
net90,42.34
_1629_,42.32
_0957_,42.3
_0972_,42.2
_1908_,42.2
_2558_,42.18
_1452_,42.04
_1323_,41.96
_2829_,41.94
_0559_,41.88
_2345_,41.76
_0552_,41.685
_3620_,41.64
_2635_,41.61
_0025_,41.58
_3600_,41.56
_2666_,41.5
_0684_,41.48
_0467_,41.26
_1272_,41.24
_3766_,41.18
_3453_,41.16
_1400_,41.08
_1568_,40.94
_1541_,40.9
_3297_,40.7
_0683_,40.6
net93,40.54
_0430_,40.42
_1172_,40.42
_1193_,40.415
_0029_,40.4
_3798_,40.32
_1050_,40.26
_3393_,40.2
_0996_,39.98
_0130_,39.92
_0210_,39.92
_1409_,39.92
net75,39.88
_2045_,39.84
_1705_,39.8
_1863_,39.74
_2604_,39.7
_3516_,39.7
_3650_,39.68
_0162_,39.62
_3432_,39.55
_0750_,39.52
_1510_,39.48
_0897_,39.475
_1021_,39.46
_1539_,39.4
_3318_,39.4
_1102_,39.34
_0326_,39.3
_1636_,39.29
_3384_,39.28
_0542_,39.2
_1990_,39.18
_1395_,38.82
_0839_,38.64
_0479_,38.5
_1495_,38.45
_3236_,38.44
_1137_,38.42
_0407_,38.41
_1791_,38.4
_1996_,38.4
_1241_,38.36
net66,38.34
_1429_,38.32
_3207_,38.3
_1744_,38.24
_0480_,38.14
_2198_,38.1
_0197_,38.08
_2242_,38.06
_2644_,38.03
_2754_,37.92
_2382_,37.9
_0349_,37.66
_0586_,37.655
_0169_,37.56
_2693_,37.36
_1906_,37.32
_2940_,37.26
_0579_,37.22
_3720_,37.22
_3378_,37.205
_0492_,37.13
_1447_,37.04
_1620_,37
_3796_,37
_1093_,36.98
_0553_,36.9
_3487_,36.87
_2084_,36.8
_0373_,36.78
_1151_,36.64
_2650_,36.64
_1117_,36.6
_1092_,36.42
_1947_,36.415
_0948_,36.4
_1041_,36.4
_1058_,36.4
_2041_,36.36
_0412_,36.34
_0643_,36.3
_2787_,36.3
_3215_,36.22
_3461_,36.08
_1076_,36.075
_0114_,36.06
_2531_,35.98
_2404_,35.94
_0464_,35.9
net61,35.76
_3442_,35.74
_3674_,35.74
_1903_,35.7
_0077_,35.66
net74,35.6
_2235_,35.5
_0560_,35.48
_3294_,35.42
_2278_,35.28
_0585_,35.26
_0621_,35.26
_1881_,35.24
_0324_,35.18
_1854_,35.16
_0144_,35.12
_1987_,35.12
_2832_,35.12
_2559_,35.1
_0705_,35.08
net6,35.06
_0164_,34.8
_0498_,34.8
net71,34.78
_0850_,34.76
_1418_,34.74
_1522_,34.68
_2877_,34.66
_2131_,34.46
_3149_,34.44
_2570_,34.36
_1405_,34.3
_0067_,34.24
_3069_,34.24
_0384_,34.08
_0846_,34.08
_1686_,34.04
_1059_,33.97
_1619_,33.96
_1484_,33.8
_2898_,33.8
_3504_,33.68
_3392_,33.64
_3737_,33.56
_1783_,33.54
_1942_,33.44
net99,33.44
_0211_,33.42
_0239_,33.4
_0486_,33.38
_0946_,33.34
_0305_,33.325
_1476_,33.32
_3211_,33.3
_0820_,33.26
_0222_,33.24
_2363_,33.12
_3036_,33.08
_2299_,33.06
_2081_,33
_3017_,33
_1861_,32.99
_3412_,32.94
_2789_,32.9
_1215_,32.86
_1630_,32.84
_1901_,32.82
_3483_,32.78
_1545_,32.76
_1745_,32.62
_1924_,32.62
_3670_,32.62
_0701_,32.555
_1830_,32.54
_0518_,32.5
_3283_,32.5
_3573_,32.485
_1442_,32.48
_2686_,32.34
_1952_,32.325
_0843_,32.3
_1026_,32.26
_0135_,32.24
_0691_,32.24
_1489_,32.2
_3501_,32.16
net70,32.16
_0223_,32.1
_0503_,32.1
_2125_,32.09
_1100_,32.08
net101,32.04
_1067_,32.02
_1372_,32
_0358_,31.98
_1419_,31.94
_3198_,31.94
_1481_,31.92
_2725_,31.86
_0335_,31.82
_3767_,31.82
_2711_,31.73
net80,31.72
_0405_,31.7
_2248_,31.68
_1185_,31.64
_2788_,31.64
_0259_,31.61
_0403_,31.58
_0936_,31.58
_0943_,31.56
_1812_,31.54
net92,31.54
_3019_,31.52
_1800_,31.48
_0442_,31.46
_2165_,31.46
_2715_,31.4
_1261_,31.36
_2608_,31.25
_1223_,31.24
_3469_,31.14
_0607_,31.12
_2179_,31.12
_0668_,31.08
_3554_,31.08
_0218_,31.03
_1035_,31
_0106_,30.9
_0202_,30.9
_2833_,30.88
_1453_,30.86
_3067_,30.84
_2205_,30.74
_0041_,30.7
_1435_,30.66
_3485_,30.66
_1659_,30.62
_2438_,30.58
_2914_,30.56
_2837_,30.52
_0450_,30.5
_1804_,30.5
net13,30.49
_1394_,30.44
_2298_,30.42
_3177_,30.42
_0179_,30.415
_0455_,30.38
net97,30.36
_0978_,30.32
_1356_,30.28
_2011_,30.24
net106,30.24
_2551_,30.22
_0982_,30.2
_0013_,30.16
_1296_,30.16
_3832_,30.16
_1941_,30.12
_1531_,30.06
_1661_,30.02
_0688_,29.94
_0078_,29.9
_0609_,29.88
_0810_,29.84
_1138_,29.84
_3531_,29.83
_2747_,29.8
_0491_,29.78
_2609_,29.74
_2432_,29.72
_1063_,29.7
_0635_,29.68
_0327_,29.66
_0674_,29.62
_2557_,29.58
_3466_,29.58
_0428_,29.48
_0817_,29.48
_2245_,29.46
_2412_,29.42
_2426_,29.4
_3037_,29.4
_3179_,29.4
_2993_,29.32
_0545_,29.28
_0703_,29.24
_3490_,29.2
_1795_,29.195
_1967_,29.16
_2331_,29.16
_0629_,29.08
_0399_,29.05
_2751_,29.01
_3280_,29
_3541_,28.92
_1197_,28.9
_3154_,28.86
_3102_,28.84
_1297_,28.74
_2960_,28.74
_3617_,28.74
_1591_,28.72
_0568_,28.64
_2110_,28.6
_1765_,28.56
_1051_,28.54
_2121_,28.54
_0699_,28.49
_1247_,28.48
_1160_,28.44
_1274_,28.44
_2311_,28.44
_1787_,28.36
_2677_,28.34
_1655_,28.27
_1384_,28.26
_0339_,28.24
_3663_,28.23
_2204_,28.2
_1329_,28.18
_0273_,28.14
_3661_,28.14
_1887_,28.12
_2598_,28.12
_0844_,28.05
_1884_,28.04
_0565_,28.02
_1233_,28.02
_3140_,27.92
_1651_,27.9
_1562_,27.86
_3105_,27.82
_0919_,27.78
_1373_,27.78
_2291_,27.755
_1273_,27.74
_2203_,27.72
_1929_,27.715
_0174_,27.69
_2574_,27.66
_2774_,27.64
_1867_,27.58
_2315_,27.52
_2119_,27.44
_0603_,27.42
_2809_,27.42
_3503_,27.42
_0468_,27.4
_0689_,27.38
_1585_,27.265
_0141_,27.24
_2234_,27.24
_0296_,27.22
_1154_,27.22
_1161_,27.2
_1320_,27.18
_1070_,27.1
_1237_,27.1
_1333_,27.1
_1650_,27.1
_3063_,27.06
_2514_,27.02
_1477_,27
_0692_,26.92
_3484_,26.9
_0115_,26.88
_0980_,26.88
_3459_,26.85
_1835_,26.84
_3315_,26.8
_3834_,26.78
_2064_,26.77
_0695_,26.68
_2112_,26.68
_0360_,26.62
_1336_,26.6
_1411_,26.6
_1569_,26.6
_3787_,26.6
_1956_,26.56
_2136_,26.56
_0488_,26.48
_1393_,26.48
net100,26.42
_0608_,26.405
net12,26.34
_1042_,26.31
_3225_,26.3
_2798_,26.24
_2532_,26.18
_3529_,26.18
_3755_,26.18
_0811_,26.16
_3579_,26.16
_3711_,26.16
_3786_,26.14
_0266_,26.1
_0720_,26.1
_3366_,26.1
_1622_,26.08
_0527_,26.06
_0837_,26.06
_2902_,26.06
_0160_,26.02
_0260_,26.02
_1047_,26.02
_1793_,26.02
_2317_,26
_1285_,25.98
_2560_,25.98
_2750_,25.98
_1509_,25.96
_1003_,25.94
_1065_,25.92
_1222_,25.92
_1451_,25.92
_3142_,25.92
_0166_,25.895
_2477_,25.88
_3807_,25.88
_2654_,25.86
_3557_,25.86
_0065_,25.84
_1254_,25.68
_0649_,25.65
_2273_,25.64
_2365_,25.64
_0155_,25.6
_0726_,25.6
_2436_,25.6
_0285_,25.58
_2000_,25.58
_2672_,25.57
_1345_,25.54
_2042_,25.48
_1112_,25.44
_1408_,25.38
_0323_,25.34
_2053_,25.3
_0495_,25.295
_3362_,25.29
_1367_,25.28
